sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.6129;5.6312;7.8913;65.7273;8.7;7.2;-33.3;348.14;-30.52;7.06;67.041;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 15;85.6;26.0;3.671;22;2014-11-09 13:39:27:994
1.0343;4.2904;8.6191;51.5455;-5.9;8.3;-32.0;4.75;-42.39;-6.55;76.673;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 14;85.6;26.0;3.671;523;2014-11-09 13:39:28:495
-0.9577;4.4053;8.6957;331.5476;-3.8;8.0;-31.8;33.96;-17.68;13.4;74.555;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 14;85.6;26.0;3.671;1023;2014-11-09 13:39:28:995
-0.6129;3.9456;7.9679;878.5714;-5.9;6.3;-32.1;20.92;-24.2;1.93;75.939;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 14;85.6;26.0;3.671;1530;2014-11-09 13:39:29:502
-0.5363;4.9799;8.5042;1385.0;-0.2;6.5;-33.1;11.62;-21.88;6.7;74.24;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 14;85.6;26.0;3.671;2031;2014-11-09 13:39:30:003
-2.5666;2.3367;9.5002;1343.0952;4.7;7.1;-35.3;359.5;-22.91;7.84;67.65;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 14;85.6;26.0;3.671;2533;2014-11-09 13:39:30:505
-2.9497;3.486;8.3127;1367.619;20.7;18.5;-36.4;339.73;-20.63;13.86;73.024;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 14;85.6;26.0;3.671;3033;2014-11-09 13:39:31:005
0.1532;3.486;9.6151;1466.9048;22.2;16.4;-36.0;343.53;-23.34;18.88;75.813;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 14;85.6;26.0;3.671;3533;2014-11-09 13:39:31:505
-0.8811;4.0223;7.8147;3277.093;22.4;15.5;-35.2;328.77;-27.08;5.1;73.415;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 14;85.6;26.0;3.671;4033;2014-11-09 13:39:32:005
-3.2561;4.865;10.8026;3545.2715;23.3;10.4;-34.4;327.39;-25.43;10.91;65.968;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 14;85.6;26.0;3.671;4536;2014-11-09 13:39:32:508
-1.8771;5.2098;9.3087;3646.0852;19.7;9.9;-32.6;344.01;-26.63;20.13;65.563;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 14;85.6;26.0;3.671;5072;2014-11-09 13:39:33:044
-1.3024;3.9073;5.861;3229.6511;21.2;5.1;-29.9;328.29;-33.06;12.53;64.626;19.519735;-96.91561;4348.86;0.0;25.806452;12 / 14;85.6;26.0;3.671;5599;2014-11-09 13:39:33:571
-0.1532;5.1332;7.0868;2949.6123;18.4;1.1;-28.5;322.32;-45.47;3.08;67.36;19.519735;-96.91561;4348.86;0.0;25.806452;12 / 14;85.6;26.0;3.671;6100;2014-11-09 13:39:34:072
3.4093;5.9376;9.347;4384.07;7.9;8.6;-27.3;328.5;-28.16;-9.18;66.762;19.519735;-96.91561;4348.86;0.0;25.806452;15 / 15;85.6;26.0;3.671;6604;2014-11-09 13:39:34:576
2.2601;5.4396;9.1554;4341.24;6.7;7.9;-26.9;338.56;-31.04;-2.34;65.547;19.519735;-96.91561;4348.86;0.0;25.806452;15 / 15;85.6;26.0;3.671;7104;2014-11-09 13:39:35:076
1.2258;4.0606;10.1131;4035.504;-2.2;5.6;-22.7;348.54;-23.6;-12.37;62.874;19.519741;-96.91561;4348.44;2.06;19.35484;14 / 14;85.6;26.0;3.671;7613;2014-11-09 13:39:35:585
1.0343;4.1755;7.4699;5296.008;-7.7;4.0;-17.4;23.66;-30.9;-8.04;74.946;19.519741;-96.91561;4348.44;2.06;19.35484;14 / 14;85.6;26.0;3.671;8114;2014-11-09 13:39:36:086
2.4134;3.9456;8.9639;5485.116;-6.9;0.5;-16.5;18.71;-23.03;-15.07;74.916;19.519741;-96.91561;4348.44;2.06;19.35484;15 / 15;85.6;26.0;3.671;8619;2014-11-09 13:39:36:591
0.6129;4.0606;8.849;5802.054;-6.7;-0.4;-15.8;55.05;-22.09;4.66;75.59;19.519741;-96.91561;4348.44;2.06;19.35484;15 / 15;85.6;26.0;3.671;9119;2014-11-09 13:39:37:091
1.0726;3.984;8.5042;5290.7363;-5.6;0.4;-17.2;30.28;-24.48;-5.84;72.437;19.519741;-96.91561;4348.44;2.06;19.35484;15 / 15;85.6;26.0;3.671;9623;2014-11-09 13:39:37:595
0.498;3.9073;8.734;5126.667;-5.2;1.3;-17.8;21.95;-24.84;-4.81;61.593;19.519741;-96.91561;4348.44;2.06;19.35484;15 / 15;85.6;26.0;3.671;10124;2014-11-09 13:39:38:096
0.8428;3.8307;8.6191;5122.054;-5.0;1.3;-18.0;21.66;-23.9;-5.29;64.608;19.519741;-96.91561;4348.44;2.06;19.35484;14 / 15;85.6;26.0;3.671;10625;2014-11-09 13:39:38:597
0.9194;3.869;8.6191;5153.0234;-5.4;1.7;-18.0;20.44;-23.24;-5.08;72.355;19.519741;-96.91561;4348.44;2.06;19.35484;14 / 15;85.6;26.0;3.671;11126;2014-11-09 13:39:39:098
0.3831;4.1372;8.6191;5116.783;-5.6;4.3;-17.8;24.32;-25.62;-2.54;68.081;19.519741;-96.91561;4348.44;2.06;19.35484;14 / 14;85.6;26.0;3.671;11626;2014-11-09 13:39:39:598
0.9577;2.0686;8.9256;6097.248;-3.1;12.4;-18.7;2.96;-13.0;-6.51;73.883;19.519741;-96.91561;4348.44;2.06;19.35484;14 / 14;85.6;26.0;3.671;12126;2014-11-09 13:39:40:098
1.6089;3.2561;9.6151;6271.8604;-2.9;10.7;-18.9;5.38;-12.62;-4.78;70.515;19.519741;-96.91561;4348.44;2.06;19.35484;14 / 14;85.6;26.0;3.671;12626;2014-11-09 13:39:40:598
1.2258;2.2984;8.8873;6777.248;-5.6;12.5;-15.1;16.89;-15.48;-3.6;63.161;19.519741;-96.91561;4348.44;2.06;19.35484;14 / 14;85.6;26.0;3.671;13127;2014-11-09 13:39:41:099
2.873;1.6855;9.1171;7025.0;-10.8;12.3;-7.7;30.52;-10.0;-17.49;75.273;19.519741;-96.91561;4348.44;2.06;19.35484;15 / 15;85.6;26.0;3.671;13627;2014-11-09 13:39:41:599
4.0989;2.5283;9.1171;6314.0313;-10.6;11.7;-8.2;33.17;-9.44;-13.41;73.916;19.519741;-96.91561;4348.44;2.06;19.35484;15 / 15;85.6;26.0;3.671;14146;2014-11-09 13:39:42:118
1.7238;4.4436;6.6655;6062.3257;-1.0;11.8;-15.6;350.73;-32.84;-14.5;62.416;19.519741;-96.91561;4348.44;2.06;19.35484;16 / 16;85.6;26.0;3.671;14647;2014-11-09 13:39:42:619
-0.4597;5.6312;5.861;3024.0698;2.3;2.1;-16.6;343.24;-36.42;-5.02;61.922;19.519741;-96.91561;4348.44;2.06;19.35484;16 / 16;85.6;26.0;3.671;15149;2014-11-09 13:39:43:121
-0.4214;5.5162;10.343;4056.589;-1.0;6.3;-17.0;7.27;-28.05;2.33;73.056;19.519741;-96.91561;4348.44;2.06;19.35484;16 / 16;85.6;26.0;3.671;15649;2014-11-09 13:39:43:621
2.4517;2.375;7.2018;5479.8447;-9.0;14.2;-6.6;19.72;-18.4;-21.15;74.988;19.519741;-96.91561;4348.44;2.06;19.35484;16 / 16;85.6;26.0;3.671;16159;2014-11-09 13:39:44:131
2.5666;1.2258;8.9256;5201.124;-8.5;14.4;-6.1;20.94;-16.44;-16.22;72.967;19.519741;-96.91561;4348.44;2.06;19.35484;16 / 16;85.6;26.0;3.671;16659;2014-11-09 13:39:44:631
3.7158;3.0646;9.1937;5205.7363;-9.1;14.3;-6.0;24.93;-19.52;-13.4;70.116;19.519741;-96.91561;4348.44;2.06;19.35484;16 / 16;85.6;26.0;3.671;17159;2014-11-09 13:39:45:131
2.9113;2.988;9.347;5047.5967;-9.9;13.5;-5.0;26.11;-19.46;-19.33;72.722;19.519741;-96.91561;4348.44;2.06;19.35484;16 / 16;85.6;26.0;3.671;17660;2014-11-09 13:39:45:632
1.1109;3.1412;8.9639;4895.3877;-10.3;13.3;-4.1;32.6;-15.61;-11.31;73.446;19.519741;-96.91561;4348.44;2.06;19.35484;16 / 16;85.6;26.0;3.671;18172;2014-11-09 13:39:46:144
1.0726;2.988;7.6231;4911.2017;-10.1;12.4;-4.9;32.18;-28.98;-12.07;68.388;19.519741;-96.91561;4348.44;2.06;19.35484;16 / 16;85.6;26.0;3.671;18672;2014-11-09 13:39:46:644
1.3791;2.2984;7.1251;4842.0156;-10.6;13.3;-5.1;34.18;-17.57;-10.95;72.647;19.519741;-96.91561;4348.44;2.06;19.35484;16 / 16;85.6;26.0;3.671;19185;2014-11-09 13:39:47:157
2.8347;3.6009;10.2663;4647.6357;-12.7;14.1;-4.9;37.65;-19.19;-9.52;72.427;19.519753;-96.91561;4346.34;1.06;25.806452;15 / 16;85.6;26.0;3.671;19685;2014-11-09 13:39:47:657
0.9194;4.9799;8.1594;4357.713;-10.5;19.1;-13.2;19.83;-31.24;-6.43;72.579;19.519753;-96.91561;4346.34;1.06;25.806452;15 / 16;85.6;26.0;3.671;20216;2014-11-09 13:39:48:188
0.2682;3.486;10.9559;4979.07;-7.4;23.6;-16.4;17.83;-13.67;6.07;66.398;19.519753;-96.91561;4346.34;1.06;25.806452;16 / 16;85.6;26.0;3.671;20716;2014-11-09 13:39:48:688
1.1492;3.7541;8.6191;4478.953;-5.9;23.0;-17.5;7.5;-23.35;-7.59;74.52;19.519753;-96.91561;4346.34;1.06;25.806452;16 / 16;85.6;26.0;3.671;21216;2014-11-09 13:39:49:188
3.5626;2.873;9.1937;4057.248;2.9;28.9;-18.8;343.38;-25.31;-22.11;73.17;19.51976;-96.91561;4345.82;1.61;25.806452;16 / 16;85.6;26.0;3.671;21717;2014-11-09 13:39:49:689
0.3448;1.1875;9.6917;4889.457;19.7;29.2;-19.8;326.38;-6.98;-2.04;74.323;19.51976;-96.91561;4345.82;1.61;25.806452;16 / 16;85.6;26.0;3.671;22217;2014-11-09 13:39:50:189
1.992;2.6815;8.7724;4104.69;14.9;23.5;-23.4;324.39;-18.56;-15.09;68.745;19.519764;-96.91562;4345.79;0.0;25.806452;16 / 16;85.6;26.0;3.671;22720;2014-11-09 13:39:50:692
3.0263;3.5243;7.8147;3729.767;12.3;25.5;-23.2;327.5;-22.81;-21.17;70.709;19.519764;-96.91562;4345.79;0.0;25.806452;16 / 16;85.6;26.0;3.671;23221;2014-11-09 13:39:51:193
0.5746;4.2904;8.5808;3729.767;17.6;24.1;-23.4;324.28;-19.56;-8.27;72.666;19.519768;-96.91562;4345.74;0.0;25.806452;16 / 16;85.6;26.0;3.671;23755;2014-11-09 13:39:51:727
1.4557;5.2864;8.7724;3392.4033;8.5;17.9;-25.1;339.86;-31.49;-3.05;63.272;19.519768;-96.91562;4345.74;0.0;25.806452;16 / 16;85.6;26.0;3.671;24274;2014-11-09 13:39:52:246
2.1835;5.6312;7.5082;3297.5195;-11.6;8.6;-17.0;14.71;-32.51;-21.75;72.03;19.519775;-96.91562;4345.27;1.78;25.806452;16 / 16;85.6;26.0;3.671;24792;2014-11-09 13:39:52:764
-0.3448;5.6695;7.3933;1409.5238;-12.1;-1.4;-15.7;55.14;-35.71;0.53;64.67;19.519775;-96.91562;4345.27;1.78;25.806452;16 / 16;85.6;26.0;3.671;25293;2014-11-09 13:39:53:265
-0.6512;6.6655;6.5122;941.0714;-12.1;-6.4;-13.8;69.88;-45.52;5.71;63.76;19.519789;-96.91562;4344.74;0.0;25.806452;16 / 16;85.6;26.0;3.671;25794;2014-11-09 13:39:53:766
-0.0766;6.3973;7.2401;921.4286;-12.5;-7.5;-9.7;84.53;-41.46;1.45;63.797;19.519789;-96.91562;4344.74;0.0;25.806452;16 / 16;85.6;26.0;3.671;26295;2014-11-09 13:39:54:267
0.1149;5.7461;7.2018;1404.0476;-13.1;-10.8;-8.5;105.13;-38.58;-0.91;65.832;19.519789;-96.91562;4344.74;0.0;25.806452;16 / 16;85.6;26.0;3.671;26795;2014-11-09 13:39:54:767
0.4214;5.8993;6.5888;992.8572;-12.9;-12.9;-3.4;123.24;-37.83;0.87;73.009;19.519789;-96.91562;4344.74;0.0;25.806452;16 / 16;85.6;26.0;3.671;27310;2014-11-09 13:39:55:282
0.1149;6.2058;7.4699;1342.8572;-13.1;-16.1;1.9;135.93;-39.72;-0.88;72.174;19.519789;-96.91562;4344.74;0.0;25.806452;15 / 15;85.6;26.0;3.671;27810;2014-11-09 13:39:55:782
0.9577;5.9759;6.9336;1401.9048;-12.0;-19.2;2.8;141.33;-39.83;-8.34;64.762;19.519789;-96.91562;4344.74;0.0;25.806452;15 / 15;85.6;26.0;3.671;28337;2014-11-09 13:39:56:309
0.7278;6.5888;7.3933;1426.6666;-10.5;-20.0;3.5;149.9;-39.53;-3.21;64.385;19.519789;-96.91562;4344.74;0.0;25.806452;16 / 16;85.6;26.0;3.671;28842;2014-11-09 13:39:56:814
-0.6512;5.7461;6.8953;1423.0952;-10.3;-20.2;3.2;151.34;-38.12;3.37;67.408;19.519789;-96.91562;4344.74;0.0;25.806452;16 / 16;85.6;26.0;3.671;29349;2014-11-09 13:39:57:321
-0.5746;5.7078;7.6614;1474.2856;-10.7;-19.0;1.0;147.04;-40.41;2.12;63.92;19.519793;-96.91561;4343.72;1.66;25.806452;15 / 16;85.6;26.0;3.671;29850;2014-11-09 13:39:57:822
0.5363;5.861;7.1251;3044.496;-10.7;-19.0;0.6;144.38;-35.63;-5.43;60.945;19.519793;-96.91561;4343.72;1.66;25.806452;15 / 16;85.6;26.0;3.671;30350;2014-11-09 13:39:58:322
-1.6472;4.2138;7.2784;3070.8525;-9.9;-19.6;-1.0;151.04;-29.45;12.75;62.331;19.519793;-96.91561;4343.72;1.66;25.806452;16 / 16;85.6;26.0;3.671;30850;2014-11-09 13:39:58:822
-1.8771;5.861;7.6614;3371.9763;-9.7;-17.8;-5.0;142.15;-30.72;6.51;75.003;19.519793;-96.91561;4343.72;1.66;25.806452;16 / 16;85.6;26.0;3.671;31350;2014-11-09 13:39:59:322
1.2641;4.4436;6.8187;3366.7056;-9.3;-19.1;0.3;149.65;-32.65;-10.5;67.55;19.519793;-96.91561;4343.72;1.66;25.806452;16 / 16;85.6;26.0;3.671;31851;2014-11-09 13:39:59:823
0.3831;4.5969;9.2703;3529.4575;-6.4;-21.2;-2.4;161.33;-27.82;-1.97;73.479;19.519793;-96.91561;4343.72;1.66;25.806452;16 / 16;85.6;26.0;3.671;32351;2014-11-09 13:40:00:323
-0.3065;6.5888;6.3207;3672.442;-6.8;-22.2;3.5;159.69;-46.16;2.78;72.347;19.519793;-96.91561;4343.72;1.66;25.806452;16 / 16;85.6;26.0;3.671;32852;2014-11-09 13:40:00:824
1.4557;5.9759;6.5122;3530.1165;-10.5;-20.8;3.5;149.96;-37.31;-8.94;69.549;19.519793;-96.91561;4343.72;1.66;25.806452;16 / 16;85.6;26.0;3.671;33352;2014-11-09 13:40:01:324
-1.7621;6.8187;8.351;3582.829;-10.3;-19.3;1.1;144.99;-45.0;0.9;60.69;19.519793;-96.9156;4342.36;1.28;77.41935;16 / 16;85.6;26.0;3.671;33852;2014-11-09 13:40:01:824
-1.1109;5.3247;7.7381;3677.7131;-9.9;-16.5;-4.8;137.98;-31.47;7.09;70.299;19.519793;-96.9156;4342.36;1.28;77.41935;16 / 16;85.6;26.0;3.671;34352;2014-11-09 13:40:02:324
-0.1915;5.8227;7.0102;3461.589;-8.5;-19.8;-0.7;152.46;-39.73;8.01;72.808;19.519796;-96.91559;4341.91;2.19;19.35484;16 / 16;85.6;26.0;3.671;34852;2014-11-09 13:40:02:824
-0.4597;5.7078;7.4699;4157.4033;-6.5;-22.4;-0.3;160.86;-38.44;0.89;74.026;19.519796;-96.91559;4341.91;2.19;19.35484;16 / 16;85.6;26.0;3.671;35352;2014-11-09 13:40:03:324
-1.0726;5.1332;7.5848;4268.1006;-2.4;-23.5;0.9;174.92;-33.93;11.36;71.274;19.519804;-96.91558;4341.41;1.84;25.806452;16 / 16;85.6;26.0;3.671;35853;2014-11-09 13:40:03:825
-0.8428;5.7461;7.3933;4104.69;0.8;-25.5;4.0;183.87;-37.34;7.31;70.543;19.519804;-96.91558;4341.41;1.84;25.806452;16 / 16;85.6;26.0;3.671;36361;2014-11-09 13:40:04:333
-0.8045;6.2058;7.355;3814.767;1.2;-27.0;5.1;183.39;-40.79;4.61;62.93;19.519804;-96.91558;4341.41;1.84;25.806452;16 / 16;85.6;26.0;3.671;36862;2014-11-09 13:40:04:834
-0.498;5.7461;7.5465;3577.558;1.2;-27.4;5.7;183.63;-39.44;5.41;64.935;19.519804;-96.91558;4341.41;1.84;25.806452;16 / 16;85.6;26.0;3.671;37362;2014-11-09 13:40:05:334
-0.3065;5.3247;8.0445;3324.535;0.4;-26.6;3.1;180.64;-37.05;5.01;62.059;19.519808;-96.91558;4341.33;0.0;25.806452;16 / 16;85.6;26.0;3.671;37862;2014-11-09 13:40:05:834
-0.3065;5.5162;7.8913;4009.1472;0.0;-25.6;1.5;180.12;-33.75;1.36;72.717;19.519808;-96.91558;4341.33;0.0;25.806452;16 / 16;85.6;26.0;3.671;38362;2014-11-09 13:40:06:334
-0.3831;5.7844;7.5465;3830.5813;-0.8;-25.4;1.9;177.58;-36.74;2.89;68.493;19.519808;-96.91558;4341.33;0.0;25.806452;16 / 16;85.6;26.0;3.671;38863;2014-11-09 13:40:06:835
-0.2682;5.7461;7.4699;3825.31;-1.4;-25.4;3.1;177.72;-37.91;2.64;71.632;19.519808;-96.91558;4341.33;0.0;25.806452;16 / 16;85.6;26.0;3.671;39363;2014-11-09 13:40:07:335
-0.2682;5.8227;7.4316;3788.411;-1.6;-25.6;3.9;175.45;-37.77;2.34;72.183;19.51981;-96.91557;4341.28;0.0;25.806452;16 / 16;85.6;26.0;3.671;39863;2014-11-09 13:40:07:835
-0.3831;5.8227;7.5082;3762.054;-1.6;-25.6;4.1;175.52;-39.45;3.14;64.895;19.51981;-96.91557;4341.28;0.0;25.806452;16 / 16;85.6;26.0;3.671;40364;2014-11-09 13:40:08:336
-0.2682;5.7844;7.4316;3713.9531;-1.6;-25.6;4.1;175.39;-37.88;2.07;59.86;19.51981;-96.91557;4341.28;0.0;25.806452;16 / 16;85.6;26.0;3.671;40865;2014-11-09 13:40:08:837
-0.1915;5.5545;7.6614;3735.0388;-1.6;-25.6;4.1;175.34;-37.92;1.76;60.403;19.51981;-96.91557;4341.28;0.0;25.806452;16 / 16;85.6;26.0;3.671;41365;2014-11-09 13:40:09:337
0.0;5.6312;7.6998;3878.0232;-2.0;-25.4;3.7;174.93;-36.18;0.0;64.492;19.51981;-96.915565;4341.26;0.0;19.35484;16 / 16;85.6;26.0;3.671;41866;2014-11-09 13:40:09:838
-0.0766;5.8993;7.355;3092.597;-3.0;-25.0;4.1;172.35;-38.73;0.6;70.351;19.51981;-96.915565;4341.26;0.0;19.35484;16 / 16;85.6;26.0;3.671;42366;2014-11-09 13:40:10:338
-0.3065;5.6312;7.7381;4125.116;-3.2;-25.0;4.3;173.16;-36.16;3.96;71.577;19.51981;-96.915565;4341.26;0.0;19.35484;16 / 16;85.6;26.0;3.671;42866;2014-11-09 13:40:10:838
-0.1532;5.5929;7.6231;4172.558;-2.8;-24.8;2.8;172.38;-36.26;1.15;72.635;19.51981;-96.915565;4341.26;0.0;19.35484;16 / 16;85.6;26.0;3.671;43366;2014-11-09 13:40:11:338
-0.1532;5.6695;7.5848;4140.93;-3.0;-24.8;2.6;172.34;-36.82;1.15;65.335;19.519812;-96.91556;4341.25;0.0;38.709675;17 / 17;85.6;26.0;3.671;43866;2014-11-09 13:40:11:838
-0.0766;5.5929;7.6614;4162.0156;-3.4;-24.6;3.2;172.3;-36.13;0.57;64.665;19.519812;-96.91556;4341.25;0.0;38.709675;17 / 17;85.6;26.0;3.671;44366;2014-11-09 13:40:12:338
0.0;5.5929;7.6614;4214.7285;-3.6;-24.6;3.2;169.71;-36.22;0.29;60.065;19.519812;-96.91556;4341.25;0.0;38.709675;16 / 16;85.6;26.0;3.671;44867;2014-11-09 13:40:12:839
-0.0383;5.5545;7.7764;4247.0156;-3.4;-24.6;3.0;172.31;-35.54;0.28;70.754;19.519812;-96.91556;4341.25;0.0;38.709675;16 / 16;85.6;26.0;3.671;45367;2014-11-09 13:40:13:339
0.1532;5.5929;7.9296;4420.9688;-3.4;-24.6;3.0;172.13;-35.19;-1.11;69.824;19.519812;-96.91556;4341.25;0.0;38.709675;16 / 16;85.6;26.0;3.671;45867;2014-11-09 13:40:13:839
0.9194;5.8993;7.0102;4335.9688;-3.4;-24.6;4.0;170.93;-37.61;-7.67;63.324;19.519812;-96.91556;4341.25;0.0;38.709675;16 / 16;85.6;26.0;3.671;46367;2014-11-09 13:40:14:339
1.1109;6.0142;7.2784;4246.3564;-3.8;-25.0;6.1;168.2;-39.47;-7.54;76.855;19.519808;-96.91555;4341.23;0.0;38.709675;16 / 16;85.6;26.0;3.671;46867;2014-11-09 13:40:14:839
1.1492;5.8227;7.3167;4294.457;-4.0;-25.2;7.2;167.8;-38.48;-9.27;67.581;19.519808;-96.91555;4341.23;0.0;38.709675;16 / 16;85.6;26.0;3.671;47367;2014-11-09 13:40:15:339
0.3065;5.7461;7.5848;4204.186;-3.8;-25.2;5.9;169.65;-37.4;-2.63;60.733;19.519808;-96.91555;4341.23;0.0;38.709675;15 / 15;85.6;26.0;3.671;47867;2014-11-09 13:40:15:839
0.3448;5.7461;7.5465;4262.171;-3.4;-25.2;5.3;171.9;-37.21;-2.92;62.604;19.519808;-96.91555;4341.23;0.0;38.709675;15 / 15;85.6;26.0;3.671;48367;2014-11-09 13:40:16:339
0.3831;5.5929;7.8147;3282.3643;-3.2;-25.0;4.5;172.03;-37.17;-2.35;61.457;19.519808;-96.91555;4341.23;0.0;38.709675;11 / 11;85.6;26.0;3.671;48867;2014-11-09 13:40:16:839
0.4597;5.5545;7.8913;816.6667;-3.2;-24.8;4.3;171.77;-35.88;-3.72;68.159;19.519808;-96.91555;4341.23;0.0;38.709675;11 / 11;85.6;26.0;3.671;49367;2014-11-09 13:40:17:339
0.5746;5.4396;7.7381;731.5476;-4.0;-24.6;3.5;169.06;-33.8;-6.04;66.61;19.519808;-96.91555;4341.23;0.0;38.709675;11 / 11;85.6;26.0;3.671;49869;2014-11-09 13:40:17:841
0.8045;5.4013;7.8147;778.5714;-4.6;-24.2;3.1;165.96;-34.71;-5.96;66.256;19.519808;-96.91555;4341.23;0.0;38.709675;11 / 11;85.6;26.0;3.671;50369;2014-11-09 13:40:18:341
0.6512;5.2864;7.7764;564.881;-5.2;-24.0;2.9;166.2;-34.11;-4.79;67.817;19.519808;-96.91555;4341.23;0.0;38.709675;10 / 10;85.6;26.0;3.671;50869;2014-11-09 13:40:18:841
0.5363;5.363;7.853;692.8571;-5.2;-24.0;2.9;166.23;-34.58;-4.21;65.099;19.519808;-96.91555;4341.23;0.0;38.709675;10 / 10;85.6;26.0;3.671;51369;2014-11-09 13:40:19:341
0.7661;5.3247;7.9296;674.4048;-4.8;-24.0;2.9;166.14;-33.76;-5.52;62.999;19.519808;-96.91555;4341.23;0.0;38.709675;10 / 10;85.6;26.0;3.671;51869;2014-11-09 13:40:19:841
0.5363;5.2481;7.853;816.6667;-5.0;-24.0;2.9;165.96;-34.99;-5.74;67.699;19.519808;-96.91555;4341.23;0.0;38.709675;10 / 10;85.6;26.0;3.671;52369;2014-11-09 13:40:20:341
0.6512;4.4436;7.853;1402.1428;-4.8;-24.0;2.9;166.72;-29.42;-4.74;68.381;19.519808;-96.91556;4341.14;0.0;25.806452;10 / 10;85.6;26.0;3.671;52869;2014-11-09 13:40:20:841
2.2984;6.5505;7.2401;445.2381;-5.0;-24.4;10.7;162.02;-43.99;-15.15;67.187;19.519808;-96.91556;4341.14;0.0;25.806452;10 / 10;85.6;26.0;3.671;53370;2014-11-09 13:40:21:342
1.5323;6.1675;7.3167;1369.5238;-5.6;-24.8;8.8;162.25;-39.52;-11.83;67.204;19.519808;-96.91556;4341.14;0.0;25.806452;10 / 10;85.6;26.0;3.671;53870;2014-11-09 13:40:21:842
0.0383;5.3247;7.853;3777.2092;-4.9;-24.8;4.2;167.44;-34.6;-1.15;69.475;19.519808;-96.91556;4341.14;0.0;25.806452;10 / 10;85.6;26.0;3.671;54370;2014-11-09 13:40:22:342
0.3831;5.6312;7.5465;3925.465;-3.7;-25.0;4.6;169.49;-36.69;-2.91;70.428;19.519808;-96.91556;4341.14;0.0;25.806452;11 / 11;85.6;26.0;3.671;54870;2014-11-09 13:40:22:842
0.4597;5.2864;7.3933;4009.1472;-3.1;-25.6;5.1;172.13;-36.87;-3.2;72.776;19.519808;-96.91556;4341.14;0.0;25.806452;11 / 11;85.6;26.0;3.671;55370;2014-11-09 13:40:23:342
2.375;4.865;8.6191;3070.8525;-4.7;-24.3;3.9;165.21;-28.55;-15.41;69.003;19.519808;-96.91556;4341.14;0.0;25.806452;13 / 13;85.6;26.0;3.671;55870;2014-11-09 13:40:23:842
1.5706;4.4436;8.1594;3202.6357;-6.0;-23.0;3.9;162.61;-28.09;-12.76;72.371;19.519808;-96.91556;4341.14;0.0;25.806452;13 / 13;85.6;26.0;3.671;56370;2014-11-09 13:40:24:342
1.7621;4.4053;8.3893;2981.2402;-6.6;-22.4;2.9;159.76;-27.2;-11.86;68.726;19.519808;-96.91556;4341.14;0.0;25.806452;13 / 13;85.6;26.0;3.671;56870;2014-11-09 13:40:24:842
1.3024;4.5969;8.1977;1383.0952;-6.6;-22.4;2.9;159.87;-28.98;-9.03;74.202;19.519808;-96.91556;4341.14;0.0;25.806452;13 / 13;85.6;26.0;3.671;57370;2014-11-09 13:40:25:342
1.6855;5.2098;7.7381;879.1668;-6.8;-22.8;5.2;159.45;-33.34;-12.29;74.326;19.519808;-96.91556;4341.14;0.0;25.806452;7 / 7;85.6;26.0;3.671;57871;2014-11-09 13:40:25:843
0.8045;5.2481;7.8147;2949.6123;-6.6;-23.4;5.5;161.03;-33.74;-5.88;68.934;19.519808;-96.91556;4341.14;0.0;25.806452;7 / 7;85.6;26.0;3.671;58371;2014-11-09 13:40:26:343
1.6472;4.3287;8.5042;4625.8916;-5.4;-24.0;5.2;165.85;-26.55;-10.96;71.536;19.519817;-96.91556;4341.26;0.0;19.35484;13 / 13;85.6;26.0;3.671;58872;2014-11-09 13:40:26:844
2.375;5.0949;8.0062;3735.6975;-4.8;-24.2;5.2;165.13;-28.13;-14.16;76.259;19.519817;-96.91556;4341.26;0.0;19.35484;13 / 13;85.6;26.0;3.671;59372;2014-11-09 13:40:27:344
1.1875;5.5162;7.3167;4194.3022;0.8;-27.0;8.2;179.36;-36.66;-9.22;70.791;19.519821;-96.91555;4341.28;0.0;19.35484;13 / 13;85.6;26.0;3.671;59873;2014-11-09 13:40:27:845
0.9577;5.1715;7.8913;4625.8916;1.7;-27.6;8.1;181.99;-33.54;-7.29;69.808;19.519821;-96.91555;4341.28;0.0;19.35484;13 / 13;85.6;26.0;3.671;60374;2014-11-09 13:40:28:346
